[2018-10-18T10:41:01-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-18T10:48:43-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-18T10:50:02-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2018-10-18T10:50:17-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-18T10:52:11-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2019-01-17T15:13:29-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 5bb3e845b6; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-01-17T15:21:30-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 5bb3e845b6; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-01-17T20:06:39-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 5bb3e845b6; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-01-17T20:08:45-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 5bb3e845b6; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2019-02-22T17:32:54-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 2327780641; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-02-22T17:38:50-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 2327780641; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-02-22T19:27:31-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 2327780641; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-02-22T19:27:31-0500] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 2327780641; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
